address,name,account_type,entity,labels,tags
0x36b01066b7fa4a0fdb2968ea0256c848e9135674,Poloniex: OMG,eoa,exchange,1,
0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Poloniex: REP,eoa,exchange,1,
0x6795cf8eb25585eadc356ae32ac6641016c550f2,Poloniex: SNT,eoa,exchange,1,
0xfbf2173154f7625713be22e0504404ebfe021eae,Poloniex: STORJ,eoa,exchange,1,
0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex: USDC,eoa,exchange,1,
0xead6be34ce315940264519f250d8160f369fa5cd,Poloniex: ZRX,eoa,exchange,1,
0xd344539efe31f8b6de983a0cab4fb721fc69c547,QuantaEx 1,eoa,exchange,1,
0x5ca39c42f4dee3a5ba8fec3ad4902157d48700bf,QuantaEx 2,eoa,exchange,1,
0x2a048d9a8ffdd239f063b09854976c3049ae659c,QuantaEx 3,eoa,exchange,1,
0xb8cf411b956b3f9013c1d0ac8c909b086218207c,Remitano 1,eoa,exchange,1,
0x2819c144d5946404c0516b6f817a960db37d4929,Remitano 2,eoa,exchange,1,
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift 1,eoa,exchange,1,
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift 2,eoa,exchange,1,
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift 3,eoa,exchange,1,
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift 4,eoa,exchange,1,
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift 5,eoa,exchange,1,
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift 6,eoa,exchange,1,
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift 7,eoa,exchange,1,
0x324cc2c9fb379ea7a0d1c0862c3b48ca28d174a4,SouthXchange,eoa,exchange,1,
0x91f6d99b232153cb655ad3e0d05e13ef505f6cd5,Sparrow Exchange 1,eoa,exchange,1,
0xe855283086fbee485aecf2084345a91424c23954,Sparrow Exchange 2,eoa,exchange,1,
0x9bf25700727d10a857099d1033ce2cc493c3b61a,Streamity: StreamDesk,eoa,exchange,1,
0xa96b536eef496e21f5432fd258b6f78cf3673f74,Switchain,eoa,exchange,1,
0xea3a46bd1dbd0620d80037f70d0bf7c7dc5a837c,TAGZ 1,eoa,exchange,1,
0xed8204345a0cf4639d2db61a4877128fe5cf7599,TAGZ 2,eoa,exchange,1,
0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,Tidex 1,eoa,exchange,1,
0x0a73573cf2903d2d8305b1ecb9e9730186a312ae,Tidex 2,eoa,exchange,1,
0x0068eb681ec52dbd9944517d785727310b494575,Tokocrypto,eoa,exchange,1,
0xb2cc3cdd53fc9a1aeaf3a68edeba2736238ddc5d,TopBTC,eoa,exchange,1,
0x1119aaefb02bf12b84d28a5d8ea48ec3c90ef1db,Trade.io,eoa,exchange,1,
0x2f1233ec3a4930fd95874291db7da9e90dfb2f03,Uex,eoa,exchange,1,
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Upbit,eoa,exchange,1,
