address,name,account_type,type
0x13f64609bf1ef46f6515f8cd3115433a93a00dc6,Saturn Network,contract,Exchange
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift 1,eoa,Exchange
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift 2,eoa,Exchange
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift 3,eoa,Exchange
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift 4,eoa,Exchange
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift 5,eoa,Exchange
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift 6,eoa,Exchange
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift 7,eoa,Exchange
0x91f6d99b232153cb655ad3e0d05e13ef505f6cd5,Sparrow Exchange,contract,Exchange
0xe855283086fbee485aecf2084345a91424c23954,Sparrow Exchange 2,contract,Exchange
0x0681e844593a051e2882ec897ecd5444efe19ff2,StarBitEx,eoa,Exchange
0xa96b536eef496e21f5432fd258b6f78cf3673f74,Switchain,eoa,Exchange
0xea3a46bd1dbd0620d80037f70d0bf7c7dc5a837c,TAGZ 1,eoa,Exchange
0xed8204345a0cf4639d2db61a4877128fe5cf7599,TAGZ 2,eoa,Exchange
0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,Tidex 1,eoa,Exchange
0x0a73573cf2903d2d8305b1ecb9e9730186a312ae,Tidex 2,eoa,Exchange
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,TokenStore,contract,Exchange
0x0068eb681ec52dbd9944517d785727310b494575,Tokocrypto,eoa,Exchange
0xb2cc3cdd53fc9a1aeaf3a68edeba2736238ddc5d,TopBTC,eoa,Exchange
0x1119aaefb02bf12b84d28a5d8ea48ec3c90ef1db,Trade.io,eoa,Exchange
0x2f1233ec3a4930fd95874291db7da9e90dfb2f03,Uex,eoa,Exchange
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Upbit 1,eoa,Exchange
0xba826fec90cefdf6706858e5fbafcb27a290fbe0,Upbit 2,eoa,Exchange
0x5e032243d507c743b061ef021e2ec7fcc6d3ab89,Upbit 3,eoa,Exchange
0x03747f06215b44e498831da019b27f53e483599f,Upbit?,eoa,Exchange
0xb436c96c6de1f50a160ed307317c275424dbe4f2,Vinex,eoa,Exchange
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,Yobit.net,eoa,Exchange
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,Yunbi 1,eoa,Exchange
0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,Yunbi 2,eoa,Exchange
0x700f6912e5753e91ea3fae877a2374a2db1245d7,Yunbi 3,eoa,Exchange
0x60d0cc2ae15859f69bf74dadb8ae3bd58434976b,ZB.com,eoa,Exchange
0x6485fc77be2186fc60feea38d0ef4331d8404b60,ZB.com,eoa,Exchange
0xf4b51b14b9ee30dc37ec970b50a486f37686e2a8,bitfinex_cold_wallet?,eoa,Exchange
0xb287a379e6caca6732e50b88d23c290aa990a892,coinnest,eoa,Exchange
0x0b078896a3d9166da5c37ae52a5809aca48630d4,dragonex,eoa,Exchange
0x4aea7cf559f67cedcad07e12ae6bc00f07e8cf65,etherdelta_1,contract,Exchange
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,etherdelta_2,contract,Exchange
0x5b31bb52bdd7006ae57f9d9506c0ff995229b63c,Anycoin Direct,eoa,Fiat Gateway
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,eoa,Fiat Gateway
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,eoa,Fiat Gateway
0xa193c943980a9340f306b3d59deb183dc501b35f,CoinhakoSG,eoa,Fiat Gateway
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini 1,eoa,Fiat Gateway
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini 2,contract,Fiat Gateway
0xedbb72e6b3cf66a792bff7faac5ea769fe810517,Liquid,eoa,Fiat Gateway
0xb8cf411b956b3f9013c1d0ac8c909b086218207c,Remitano 1,eoa,Fiat Gateway
0x340d693ed55d7ba167d184ea76ea2fd092a35bdc,Uphold.com,eoa,Fiat Gateway
0x6b59210ade46b62b25e82e95ab390a7ccadd4c3a,Bitberry,eoa,Wallet
0xa9c7d31bb1879bff8be25ead2f59b310a52b7c5a,Cobo,eoa,Wallet
0x4fed1fc4144c223ae3c1553be203cdfcbd38c581,Cryptonator,eoa,Wallet
0x7ed1e469fcb3ee19c0366d829e291451be638e59,Freewallet,eoa,Wallet
0x416299aade6443e6f6e8ab67126e65a7f606eef5,Luno hot wallet,eoa,Wallet
0x28c9386ebab8d52ead4a327e6423316435b2d4fc,RenrenBit,eoa,Wallet
